Month-Year;Rate(%)
dic-2014;0.76
nov-2014;1.32
oct-2014;1.66
sep-2014;1.66
ago-2014;1.70
jul-2014;1.99
jun-2014;2.07
may-2014;2.13
abr-2014;1.95
mar-2014;1.53
feb-2014;1.13
ene-2014;1.58
dic-2013;1.50
nov-2013;1.24
oct-2013;0.96
sep-2013;1.18
ago-2013;1.52
jul-2013;1.96
jun-2013;1.75
may-2013;1.36
abr-2013;1.06
mar-2013;1.46
feb-2013;1.98
ene-2013;1.59
dic-2012;1.74
nov-2012;1.76
oct-2012;2.16
sep-2012;1.99
ago-2012;1.69
jul-2012;1.41
jun-2012;1.66
may-2012;1.70
abr-2012;2.30
mar-2012;2.65
feb-2012;2.87
ene-2012;2.93
dic-2011;2.96
nov-2011;3.39
oct-2011;3.53
sep-2011;3.87
ago-2011;3.77
jul-2011;3.63
jun-2011;3.56
may-2011;3.57
abr-2011;3.16
mar-2011;2.68
feb-2011;2.11
ene-2011;1.63
dic-2010;1.50
nov-2010;1.14
oct-2010;1.17
sep-2010;1.14
ago-2010;1.15
jul-2010;1.24
jun-2010;1.05
may-2010;2.02
abr-2010;2.24
mar-2010;2.31
feb-2010;2.14
ene-2010;2.63
dic-2009;2.72
nov-2009;1.84
oct-2009;-0.18
sep-2009;-1.29
ago-2009;-1.48
jul-2009;-2.10
jun-2009;-1.43
may-2009;-1.28
abr-2009;-0.74
mar-2009;-0.38
feb-2009;0.24
ene-2009;0.03
dic-2008;0.09
nov-2008;1.07
oct-2008;3.66
sep-2008;4.94
ago-2008;5.37
jul-2008;5.60
jun-2008;5.02
may-2008;4.18
abr-2008;3.94
mar-2008;3.98
feb-2008;4.03
ene-2008;4.28
dic-2007;4.08
nov-2007;4.31
oct-2007;3.54
sep-2007;2.76
ago-2007;1.97
jul-2007;2.36
jun-2007;2.69
may-2007;2.69
abr-2007;2.57
mar-2007;2.78
feb-2007;2.42
ene-2007;2.08
dic-2006;2.54
nov-2006;1.97
oct-2006;1.31
sep-2006;2.06
ago-2006;3.82
jul-2006;4.15
jun-2006;4.32
may-2006;4.17
abr-2006;3.55
mar-2006;3.36
feb-2006;3.60
ene-2006;3.99
dic-2005;3.42
nov-2005;3.46
oct-2005;4.35
sep-2005;4.69
ago-2005;3.64
jul-2005;3.17
jun-2005;2.53
may-2005;2.80
abr-2005;3.51
mar-2005;3.15
feb-2005;3.01
ene-2005;2.97
dic-2004;3.26
nov-2004;3.52
oct-2004;3.19
sep-2004;2.54
ago-2004;2.65
jul-2004;2.99
jun-2004;3.27
may-2004;3.05
abr-2004;2.29
mar-2004;1.74
feb-2004;1.69
ene-2004;1.93
dic-2003;1.88
nov-2003;1.77
oct-2003;2.04
sep-2003;2.32
ago-2003;2.16
jul-2003;2.11
jun-2003;2.11
may-2003;2.06
abr-2003;2.22
mar-2003;3.02
feb-2003;2.98
ene-2003;2.60
dic-2002;2.38
nov-2002;2.20
oct-2002;2.03
sep-2002;1.51
ago-2002;1.80
jul-2002;1.46
jun-2002;1.07
may-2002;1.18
abr-2002;1.64
mar-2002;1.48
feb-2002;1.14
ene-2002;1.14
dic-2001;1.55
nov-2001;1.90
oct-2001;2.13
sep-2001;2.65
ago-2001;2.72
jul-2001;2.72
jun-2001;3.25
may-2001;3.62
abr-2001;3.27
mar-2001;2.92
feb-2001;3.53
ene-2001;3.73
dic-2000;3.39
nov-2000;3.45
oct-2000;3.45
sep-2000;3.45
ago-2000;3.41
jul-2000;3.66
jun-2000;3.73
may-2000;3.19
abr-2000;3.07
mar-2000;3.76
feb-2000;3.22
ene-2000;2.74
dic-1999;2.68
nov-1999;2.62
oct-1999;2.56
sep-1999;2.63
ago-1999;2.26
jul-1999;2.14
jun-1999;1.96
may-1999;2.09
abr-1999;2.28
mar-1999;1.73
feb-1999;1.61
ene-1999;1.67
dic-1998;1.61
nov-1998;1.55
oct-1998;1.49
sep-1998;1.49
ago-1998;1.62
jul-1998;1.68
jun-1998;1.68
may-1998;1.69
abr-1998;1.44
mar-1998;1.37
feb-1998;1.44
ene-1998;1.57
dic-1997;1.70
nov-1997;1.83
oct-1997;2.08
sep-1997;2.15
ago-1997;2.23
jul-1997;2.23
jun-1997;2.30
may-1997;2.23
abr-1997;2.50
mar-1997;2.76
feb-1997;3.03
ene-1997;3.04
dic-1996;3.32
nov-1996;3.26
oct-1996;2.99
sep-1996;3.00
ago-1996;2.88
jul-1996;2.95
jun-1996;2.75
may-1996;2.89
abr-1996;2.90
mar-1996;2.84
feb-1996;2.65
ene-1996;2.73
dic-1995;2.54
nov-1995;2.61
oct-1995;2.81
sep-1995;2.54
ago-1995;2.62
jul-1995;2.76
jun-1995;3.04
may-1995;3.19
abr-1995;3.05
mar-1995;2.85
feb-1995;2.86
ene-1995;2.80
dic-1994;2.67
nov-1994;2.67
oct-1994;2.61
sep-1994;2.96
ago-1994;2.90
jul-1994;2.77
jun-1994;2.49
may-1994;2.29
abr-1994;2.36
mar-1994;2.51
feb-1994;2.52
ene-1994;2.52
dic-1993;2.75
nov-1993;2.68
oct-1993;2.75
sep-1993;2.69
ago-1993;2.77
jul-1993;2.78
jun-1993;3.00
may-1993;3.22
abr-1993;3.23
mar-1993;3.09
feb-1993;3.25
ene-1993;3.26
dic-1992;2.90
nov-1992;3.05
oct-1992;3.20
sep-1992;2.99
ago-1992;3.15
jul-1992;3.16
jun-1992;3.09
may-1992;3.02
abr-1992;3.18
mar-1992;3.19
feb-1992;2.82
ene-1992;2.60
dic-1991;3.06
nov-1991;2.99
oct-1991;2.92
sep-1991;3.39
ago-1991;3.80
jul-1991;4.45
jun-1991;4.70
may-1991;4.95
abr-1991;4.89
mar-1991;4.90
feb-1991;5.31
ene-1991;5.65
dic-1990;6.11
nov-1990;6.27
oct-1990;6.29
sep-1990;6.16
ago-1990;5.62
jul-1990;4.82
jun-1990;4.67
may-1990;4.36
abr-1990;4.71
mar-1990;5.23
feb-1990;5.26
ene-1990;5.20
